DBID,tau,taulb,tauub,sigma,sigmalb,sigmaub,medsiglik,medtaulik,maxlik,taumaxlik,sigmaxlik
2464194,1237.90300996,585.10867346,2087.35573141,0.00628747442111,0.00540164191757,0.00740730051195,172.907037024,175.53099351,177.577069097,531.358994779,0.00663685816034
2464449,61.3673298346,35.0483766763,130.472312607,0.0185605955119,0.0159037652765,0.0214854458677,209.014334583,209.678290975,211.303299719,77.637247659,0.0142925419921
2467373,1807.88492254,1012.23084927,2578.2203531,0.00531898149685,0.00450696687202,0.00626936163253,182.36502002,180.594940219,182.538083794,1601.48720436,0.0049832328739
2467957,681.872979575,146.424350378,2008.44233441,0.00170594218163,0.00114710457751,0.00260765122434,190.823521459,191.414705651,193.755535206,226.40940245,0.00167523924273
2473653,365.710174619,121.570951852,1494.91642961,0.012074689527,0.00915638369137,0.0162091754037,145.529760274,148.345703531,149.744931902,281.459385968,0.00988496452231
2473677,1453.89060315,688.110175159,2602.36151098,0.00946879697426,0.00823646193429,0.0109634923254,172.063019386,173.069982287,174.236486884,726.815828838,0.00918510635137
2473812,1663.84190964,884.457057767,2746.81086894,0.00581895643123,0.00517693392501,0.00663561267707,438.479522392,438.49050389,441.222967385,1215.62627376,0.00561195228938
2473988,494.270640911,177.115059511,1727.08578588,0.00832870262179,0.00682549179076,0.0105865681363,153.273907969,155.95157919,158.073253462,174.781192374,0.00853834544057
2474017,1277.88638731,549.911291497,2496.95171209,0.0115264058321,0.00992281041346,0.0134942847251,154.871179878,154.011419085,155.276234603,531.96958371,0.0111963744106
2474155,1789.35571079,910.058623968,2757.97009198,0.0147404437308,0.0127380738048,0.0171985896516,133.24136953,134.368105403,135.39188594,937.604828077,0.0154565297196
2474217,475.212159196,201.210554156,1726.50578483,0.0101756727852,0.00878561197624,0.012029728964,176.812312385,178.507310079,179.831157343,180.333660843,0.0104271022333
2474458,1131.38768983,469.026824484,2450.45295588,0.0072450516088,0.00586952708826,0.00904880664026,147.73363726,150.983445461,152.562191991,526.88874229,0.00669195440717
2474612,964.979895439,399.151917637,2323.11425584,0.0230591377066,0.0196083558066,0.0273563573026,116.718049322,119.295148601,120.917073446,405.382384417,0.0222945104251
2474924,1660.03231465,804.229293944,2714.70263453,0.00635971124479,0.00545089313849,0.00743154129232,209.327892751,207.986466492,209.369270659,757.423616219,0.00593165960845
2475121,1969.8584526,1027.16811282,2866.40016404,0.0108966078689,0.00921420871474,0.0129825998501,166.230322816,167.317956111,167.988844069,1430.24511347,0.0102460148978
2475129,1960.46394518,1046.85652004,2921.04906935,0.0103476957962,0.00872634242395,0.0125386368703,143.939086813,142.581259015,145.185752609,1445.27289427,0.00942273813808
2475389,585.627003079,173.784121622,1894.52003318,0.00288282023266,0.00214014815389,0.00412152682345,210.296579641,204.722268749,211.225776405,238.547265931,0.00291683400676
2475481,1910.49700839,1043.49297241,2844.73940157,0.00933171370351,0.00776198538328,0.0113552801285,153.842464614,156.577615574,159.271818371,1423.30348198,0.00811991843345
