DBID,tau,taulb,tauub,sigma,sigmalb,sigmaub
97938,0.0,0.0,0.0,0.0,0.0,0.0
99212,0.0,0.0,0.0,0.0,0.0,0.0
99273,0.0,0.0,0.0,0.0,0.0,0.0
99516,0.0,0.0,0.0,0.0,0.0,0.0
99669,0.0,0.0,0.0,0.0,0.0,0.0
100286,0.0,0.0,0.0,0.0,0.0,0.0
100520,0.0,0.0,0.0,0.0,0.0,0.0
100539,0.0,0.0,0.0,0.0,0.0,0.0
100759,0.0,0.0,0.0,0.0,0.0,0.0
100801,0.0,0.0,0.0,0.0,0.0,0.0
101129,0.0,0.0,0.0,0.0,0.0,0.0
101690,0.0,0.0,0.0,0.0,0.0,0.0
101718,0.0,0.0,0.0,0.0,0.0,0.0
101818,0.0,0.0,0.0,0.0,0.0,0.0
101965,0.0,0.0,0.0,0.0,0.0,0.0
102187,0.0,0.0,0.0,0.0,0.0,0.0
103425,0.0,0.0,0.0,0.0,0.0,0.0
103455,0.0,0.0,0.0,0.0,0.0,0.0
103646,0.0,0.0,0.0,0.0,0.0,0.0
103913,0.0,0.0,0.0,0.0,0.0,0.0
103979,0.0,0.0,0.0,0.0,0.0,0.0
104193,0.0,0.0,0.0,0.0,0.0,0.0
104392,0.0,0.0,0.0,0.0,0.0,0.0
104744,1687.69207231,820.416303325,2727.09969476,0.0154603747544,0.0131302335225,0.0183319234098
104962,0.0,0.0,0.0,0.0,0.0,0.0
105857,0.0,0.0,0.0,0.0,0.0,0.0
106285,0.0,0.0,0.0,0.0,0.0,0.0
106325,0.0,0.0,0.0,0.0,0.0,0.0
106501,0.0,0.0,0.0,0.0,0.0,0.0
106565,0.0,0.0,0.0,0.0,0.0,0.0
106691,0.0,0.0,0.0,0.0,0.0,0.0
106772,0.0,0.0,0.0,0.0,0.0,0.0
106913,0.0,0.0,0.0,0.0,0.0,0.0
107313,0.0,0.0,0.0,0.0,0.0,0.0
107687,0.0,0.0,0.0,0.0,0.0,0.0
107867,0.0,0.0,0.0,0.0,0.0,0.0
108155,0.0,0.0,0.0,0.0,0.0,0.0
108734,0.0,0.0,0.0,0.0,0.0,0.0
109176,0.0,0.0,0.0,0.0,0.0,0.0
109511,0.0,0.0,0.0,0.0,0.0,0.0
109616,1415.55334782,619.541822205,2572.50630609,0.018367688516,0.0152643832314,0.0220538716727
109828,0.0,0.0,0.0,0.0,0.0,0.0
110814,0.0,0.0,0.0,0.0,0.0,0.0
111226,0.0,0.0,0.0,0.0,0.0,0.0
111304,0.0,0.0,0.0,0.0,0.0,0.0
111332,0.0,0.0,0.0,0.0,0.0,0.0
111809,0.0,0.0,0.0,0.0,0.0,0.0
111817,0.0,0.0,0.0,0.0,0.0,0.0
112497,0.0,0.0,0.0,0.0,0.0,0.0
113067,0.0,0.0,0.0,0.0,0.0,0.0
113139,0.0,0.0,0.0,0.0,0.0,0.0
113426,0.0,0.0,0.0,0.0,0.0,0.0
113577,0.0,0.0,0.0,0.0,0.0,0.0
113761,0.0,0.0,0.0,0.0,0.0,0.0
114012,0.0,0.0,0.0,0.0,0.0,0.0
114109,0.0,0.0,0.0,0.0,0.0,0.0
114191,0.0,0.0,0.0,0.0,0.0,0.0
114499,0.0,0.0,0.0,0.0,0.0,0.0
114502,0.0,0.0,0.0,0.0,0.0,0.0
114724,0.0,0.0,0.0,0.0,0.0,0.0
114767,0.0,0.0,0.0,0.0,0.0,0.0
114880,0.0,0.0,0.0,0.0,0.0,0.0
115002,0.0,0.0,0.0,0.0,0.0,0.0
115016,0.0,0.0,0.0,0.0,0.0,0.0
117097,451.547407624,53.1319190136,1867.56684897,0.0318179255264,0.0145158101731,0.0704869257152
117163,0.0,0.0,0.0,0.0,0.0,0.0
117411,0.0,0.0,0.0,0.0,0.0,0.0
117460,0.0,0.0,0.0,0.0,0.0,0.0
118148,0.0,0.0,0.0,0.0,0.0,0.0
118205,0.0,0.0,0.0,0.0,0.0,0.0
118616,0.0,0.0,0.0,0.0,0.0,0.0
118629,0.0,0.0,0.0,0.0,0.0,0.0
118721,0.0,0.0,0.0,0.0,0.0,0.0
119185,0.0,0.0,0.0,0.0,0.0,0.0
119730,0.0,0.0,0.0,0.0,0.0,0.0
119992,0.0,0.0,0.0,0.0,0.0,0.0
120082,0.0,0.0,0.0,0.0,0.0,0.0
120817,0.0,0.0,0.0,0.0,0.0,0.0
121008,0.0,0.0,0.0,0.0,0.0,0.0
121143,0.0,0.0,0.0,0.0,0.0,0.0
121749,0.0,0.0,0.0,0.0,0.0,0.0
122080,0.0,0.0,0.0,0.0,0.0,0.0
122562,0.0,0.0,0.0,0.0,0.0,0.0
122682,0.0,0.0,0.0,0.0,0.0,0.0
123137,0.0,0.0,0.0,0.0,0.0,0.0
123189,0.0,0.0,0.0,0.0,0.0,0.0
123356,0.0,0.0,0.0,0.0,0.0,0.0
123709,1702.36670426,809.625652398,2769.85112705,0.0165648136478,0.0136700489273,0.0205501630294
123909,0.0,0.0,0.0,0.0,0.0,0.0
124689,0.0,0.0,0.0,0.0,0.0,0.0
125164,0.0,0.0,0.0,0.0,0.0,0.0
125207,0.0,0.0,0.0,0.0,0.0,0.0
125388,0.0,0.0,0.0,0.0,0.0,0.0
125422,0.0,0.0,0.0,0.0,0.0,0.0
126066,0.0,0.0,0.0,0.0,0.0,0.0
126217,0.0,0.0,0.0,0.0,0.0,0.0
126424,0.0,0.0,0.0,0.0,0.0,0.0
126986,0.0,0.0,0.0,0.0,0.0,0.0
127248,0.0,0.0,0.0,0.0,0.0,0.0
127330,0.0,0.0,0.0,0.0,0.0,0.0
127549,0.0,0.0,0.0,0.0,0.0,0.0
127950,0.0,0.0,0.0,0.0,0.0,0.0
128178,0.0,0.0,0.0,0.0,0.0,0.0
128761,0.0,0.0,0.0,0.0,0.0,0.0
128895,0.0,0.0,0.0,0.0,0.0,0.0
129274,0.0,0.0,0.0,0.0,0.0,0.0
129550,0.0,0.0,0.0,0.0,0.0,0.0
129563,0.0,0.0,0.0,0.0,0.0,0.0
129859,0.0,0.0,0.0,0.0,0.0,0.0
129886,0.0,0.0,0.0,0.0,0.0,0.0
130405,0.0,0.0,0.0,0.0,0.0,0.0
130457,0.0,0.0,0.0,0.0,0.0,0.0
130965,0.0,0.0,0.0,0.0,0.0,0.0
131141,0.0,0.0,0.0,0.0,0.0,0.0
131196,0.0,0.0,0.0,0.0,0.0,0.0
131280,0.0,0.0,0.0,0.0,0.0,0.0
131569,0.0,0.0,0.0,0.0,0.0,0.0
131901,0.0,0.0,0.0,0.0,0.0,0.0
132216,0.0,0.0,0.0,0.0,0.0,0.0
132269,0.0,0.0,0.0,0.0,0.0,0.0
132784,849.413389765,311.489600914,1503.08504918,0.0150234486309,0.0104537131359,0.0224910428051
133277,0.0,0.0,0.0,0.0,0.0,0.0
133470,0.0,0.0,0.0,0.0,0.0,0.0
133537,0.0,0.0,0.0,0.0,0.0,0.0
133669,0.0,0.0,0.0,0.0,0.0,0.0
133735,0.0,0.0,0.0,0.0,0.0,0.0
133895,0.0,0.0,0.0,0.0,0.0,0.0
134148,0.0,0.0,0.0,0.0,0.0,0.0
134883,0.0,0.0,0.0,0.0,0.0,0.0
134930,0.0,0.0,0.0,0.0,0.0,0.0
135017,0.0,0.0,0.0,0.0,0.0,0.0
135101,0.0,0.0,0.0,0.0,0.0,0.0
135413,0.0,0.0,0.0,0.0,0.0,0.0
135607,0.0,0.0,0.0,0.0,0.0,0.0
135718,0.0,0.0,0.0,0.0,0.0,0.0
135974,0.0,0.0,0.0,0.0,0.0,0.0
136734,0.0,0.0,0.0,0.0,0.0,0.0
136787,0.0,0.0,0.0,0.0,0.0,0.0
136829,0.0,0.0,0.0,0.0,0.0,0.0
137090,0.0,0.0,0.0,0.0,0.0,0.0
137822,0.0,0.0,0.0,0.0,0.0,0.0
138158,0.0,0.0,0.0,0.0,0.0,0.0
138442,0.0,0.0,0.0,0.0,0.0,0.0
138639,1249.59683239,395.105954462,2538.53973505,0.00691388755788,0.0048291479699,0.010037740472
138860,0.0,0.0,0.0,0.0,0.0,0.0
139265,0.0,0.0,0.0,0.0,0.0,0.0
139750,0.0,0.0,0.0,0.0,0.0,0.0
139949,0.0,0.0,0.0,0.0,0.0,0.0
140339,0.0,0.0,0.0,0.0,0.0,0.0
140509,0.0,0.0,0.0,0.0,0.0,0.0
140558,0.0,0.0,0.0,0.0,0.0,0.0
141146,0.0,0.0,0.0,0.0,0.0,0.0
141616,0.0,0.0,0.0,0.0,0.0,0.0
141827,0.0,0.0,0.0,0.0,0.0,0.0
141918,0.0,0.0,0.0,0.0,0.0,0.0
141979,0.0,0.0,0.0,0.0,0.0,0.0
142088,0.0,0.0,0.0,0.0,0.0,0.0
142102,0.0,0.0,0.0,0.0,0.0,0.0
142217,0.0,0.0,0.0,0.0,0.0,0.0
142626,0.0,0.0,0.0,0.0,0.0,0.0
142773,0.0,0.0,0.0,0.0,0.0,0.0
142808,0.0,0.0,0.0,0.0,0.0,0.0
142916,0.0,0.0,0.0,0.0,0.0,0.0
143320,0.0,0.0,0.0,0.0,0.0,0.0
143929,0.0,0.0,0.0,0.0,0.0,0.0
144096,0.0,0.0,0.0,0.0,0.0,0.0
144325,0.0,0.0,0.0,0.0,0.0,0.0
144426,0.0,0.0,0.0,0.0,0.0,0.0
144562,0.0,0.0,0.0,0.0,0.0,0.0
145336,0.0,0.0,0.0,0.0,0.0,0.0
146150,0.0,0.0,0.0,0.0,0.0,0.0
146771,0.0,0.0,0.0,0.0,0.0,0.0
146776,613.870258439,191.905950807,2012.50146994,0.0204603954094,0.0151509561626,0.0263064516025
147204,0.0,0.0,0.0,0.0,0.0,0.0
147296,0.0,0.0,0.0,0.0,0.0,0.0
