DBID,tau,taulb,tauub,sigma,sigmalb,sigmaub
2050256,58.4333675308,31.4196608186,147.572506659,0.0222807411464,0.0185239418331,0.0264369717915
2050492,910.241372545,361.604382832,2226.48623674,0.011611963697,0.00976395351235,0.0139646526085
2050940,445.956214697,163.613526445,1940.371655,0.0144926166161,0.0122031831477,0.0177205779708
2051191,1111.61885491,432.040280129,2438.58822026,0.00874451647833,0.00719546275501,0.010811065079
2051310,1695.61872657,854.275700709,2770.46825637,0.00817324346477,0.00657780481658,0.0103802517293
2051430,814.677881261,241.669236828,2238.56872009,0.0126935638805,0.0102541580089,0.0158296468345
2051457,1239.32117303,535.314362617,2497.18251425,0.011693715147,0.00995174657658,0.0138718719697
2051652,593.791484281,251.242302598,1827.33095929,0.0125205394257,0.0107749348417,0.0146930664067
2052028,282.323488642,142.602998537,1100.93406308,0.0130401339585,0.0111956820357,0.0153436968501
2052324,1338.9996975,606.82424284,2505.96162877,0.0111933839667,0.00960049443076,0.0132029301196
2052338,1465.28479131,659.316005405,2657.03081966,0.0128638212107,0.0110808700863,0.0148778915806
2052894,1373.5481832,615.907828445,2542.30153682,0.0100110017125,0.00858586260212,0.0117965441123
2052896,895.630458055,375.423346927,2191.29094106,0.011776790367,0.0100903664554,0.0138174867185
2053146,896.307332611,271.777085713,2380.65987809,0.00875214694874,0.00711628615823,0.0110598151872
2053426,1837.62782784,924.703298412,2807.13128664,0.00993451937421,0.00812838070053,0.0123667127933
2053687,712.554951082,298.735421254,1940.47897147,0.0115432953858,0.00987601205666,0.0134775103326
2054973,1.28282526117,1.03427074783,1.78270190174,0.24842495148,0.214274338936,0.285814044807
2055090,1785.47402048,938.992814851,2780.7770798,0.00578508276885,0.00503856881991,0.00681186810447
2055216,7.32573201071,3.24210568653,19.4159169966,0.0196215208266,0.0131868628651,0.0285119876259
2056389,1590.46821435,772.101358623,2702.38604634,0.00239674718297,0.00184582061968,0.00321548190537
2057228,2061.82727881,1144.06314548,2885.66664785,0.0119617236263,0.0103723365252,0.0138250787783
2058046,314.634505901,135.92178167,1230.4315963,0.0121793632928,0.0102504475008,0.0148478340846
2058048,818.593990528,297.397088152,2209.51485704,0.00853963681973,0.00708309563999,0.0102779610774
2058553,1633.52883363,747.71086355,2741.0150253,0.0121678674024,0.0105017576165,0.0141971720235
2058799,404.151384601,161.961843449,1651.73150114,0.0147631013126,0.012318422444,0.0179695248383
2058843,1237.74412851,539.634793016,2491.81507693,0.00999200506054,0.00843181797157,0.0118519309775
2058979,593.773049461,224.563511903,1747.5931222,0.0082451613397,0.00701932986893,0.00994349635451
2059243,1000.96426351,406.68145784,2345.82855754,0.0101297912779,0.00855928621381,0.0121935293501
2059572,1432.31619735,641.703448419,2587.79168303,0.00385486047434,0.00320492197506,0.00473695825922
2059939,1241.5806193,495.125344177,2534.51367459,0.0177959967912,0.0150474567444,0.0209714395822
2060387,1514.65981058,737.407829106,2583.8077129,0.0115432165376,0.00971079455819,0.0138469158126
2060780,187.27385596,103.544407059,510.103523953,0.0138975111452,0.0117649771519,0.016538981127
2060793,1575.79768178,871.857320989,2231.38387618,0.0114908238082,0.0101195220204,0.0131930813547
2060885,945.764797864,358.110608393,1959.02723928,0.00521768746254,0.00417495670392,0.00665391149012
2061035,2037.70385334,1130.5538704,2910.87663637,0.00692657898077,0.00569767027585,0.008503489589
2061079,1689.07767953,840.560079483,2770.39500431,0.00448884420968,0.00370156715758,0.0055155750881
2061101,1316.84578481,488.183840951,2551.39135688,0.00349666441595,0.00272077746081,0.00467590776326
2062052,916.963633664,354.371116066,2263.85899745,0.0101874905824,0.00888839760776,0.0117323750967
2062268,5.30742480612,1.87753814121,11.666274986,0.0493104046706,0.0360436554576,0.0764464420413
2063102,911.535872334,382.853700722,2191.22922957,0.00627584055837,0.00530996954885,0.00749780391478
2063602,386.801775739,135.78778015,1668.9660161,0.00904635399784,0.00720385046821,0.0113920356249
2063744,1707.11694083,851.579140524,2775.15685004,0.00640198845626,0.0053686952959,0.00768854503219
2063761,1674.21325631,797.159935981,2741.41696815,0.00610422397413,0.00500374874235,0.00757460054414
2063870,269.525461918,119.491389528,1002.69961302,0.0107447229227,0.00877552732773,0.0129965205938
2064849,1376.48274614,645.421060557,2573.03207901,0.00805722933953,0.00692455105646,0.00943193094043
2064931,1471.90563207,632.951543543,2633.8148271,0.00614495638988,0.0049992920723,0.00756967063589
2064950,943.192485313,297.760475176,2342.7509978,0.0126898736653,0.0106346156293,0.0153203064478
2064956,381.675943114,143.587345381,1534.90499591,0.0107484206958,0.00882761196566,0.0132093113874
2065114,850.809442436,348.797698578,2178.81589978,0.00966920034467,0.00848833709578,0.0111309575133
2066000,351.596656396,146.735024623,1343.12913028,0.0115916303013,0.00949425019394,0.0143916803734
2066116,4.10447211572,3.14235267431,5.2809066831,0.235255903974,0.209792333385,0.268744105366
2066125,694.954683429,268.086657388,2008.92761063,0.0124226099403,0.0103608452689,0.0151957360861
2066341,524.948838287,198.676305646,1505.8561825,0.00707336628196,0.00568686209955,0.00888633174796
2067058,684.257360014,232.933467942,2144.77147258,0.00976435767593,0.0080906722578,0.0117811493238
2067169,1505.1763015,616.322729952,2691.05114943,0.00423459488982,0.00348981694344,0.00518596974663
2067295,552.156498277,199.150505868,1946.02035668,0.0186312082527,0.0157008439627,0.0221863276336
2067409,635.529629867,256.412097179,1668.84719594,0.00748599662001,0.00645205485263,0.0088768105669
2068793,935.448229079,339.836779336,1941.7032769,0.00891320015006,0.0071999655334,0.011083779865
2069098,1720.00910302,899.566958435,2742.80336373,0.00590018927761,0.00497297606743,0.00703381793624
2069265,891.80953566,371.606609671,2159.10083221,0.007325319149,0.00633619885997,0.00853034267435
2069362,985.268703657,270.110451983,2364.3542998,0.0104052096633,0.00848319818006,0.0131968314774
2069433,1124.10181564,449.84714327,2394.11333564,0.00921962970287,0.00761760858719,0.0113142143429
2069441,592.837025366,223.226758854,1958.94697164,0.0120128333401,0.0104020071619,0.0138715653786
2069489,673.997096057,237.878927613,2119.53655196,0.0144772746503,0.0119078898079,0.0171841551081
2069653,354.074808625,143.988610125,1262.26913617,0.0139391455812,0.0111579750568,0.017267853434
2070551,1460.15707442,661.558021348,2587.10226522,0.00701375622114,0.00586579396538,0.00837221028437
2070799,30.2742670808,16.3322943278,61.5533693478,0.0264156257318,0.0220309695629,0.0319371007331
2071527,1062.02291241,454.608691784,2055.66515145,0.0130234441632,0.0110757733548,0.0154557776929
2071832,539.824066856,183.484824016,1897.50015179,0.00770827243855,0.00607873859616,0.00999690262241
2073759,667.213177443,248.11987612,2032.94847822,0.00608711885898,0.00494369028051,0.00770852442327
2074048,1418.23376884,641.912853139,2620.1536427,0.0133207100145,0.0114130218318,0.0155879147108
2074088,1490.43117809,711.690215852,2606.31548741,0.0114176427733,0.00984719297861,0.0133320130203
